time,bid,ask,mid,spread,microprice,bid_depth,ask_depth,imbalance,mm_bid_queue,mm_ask_queue
1767225601998,876433,876434,876433,1,876433,1027,1244,-0.0955526,-1,-1
1767225613798,876433,876434,876433,1,876433,372,1180,-0.520619,-1,-1
1767225625797,876376,876377,876376,1,876376,486,1789,-0.572747,-1,-1
1767225637798,876459,876460,876459,1,876460,988,751,0.136285,-1,-1
1767225649797,876459,876460,876459,1,876459,335,1314,-0.593693,-1,-1
1767225661798,876459,876460,876459,1,876459,488,1454,-0.497425,-1,-1
1767225673798,876459,876460,876459,1,876459,903,1223,-0.150517,-1,-1
1767225685998,876459,876460,876459,1,876459,727,1410,-0.319607,-1,-1
1767225698998,876459,876460,876459,1,876459,805,1594,-0.328887,-1,-1
1767225711397,876863,876864,876863,1,876864,1347,520,0.442957,-1,-1
1767225723397,876778,876779,876778,1,876778,509,1864,-0.571007,-1,-1
1767225735398,876738,876739,876738,1,876738,368,1065,-0.486392,-1,-1
1767225747597,876738,876739,876738,1,876739,1366,248,0.692689,-1,-1
1767225759798,876842,876843,876842,1,876843,1285,1028,0.111111,-1,-1
1767225772398,876842,876843,876842,1,876843,1369,590,0.397652,-1,-1
1767225784397,876790,876791,876790,1,876791,865,707,0.100509,-1,-1
1767225796397,876790,876791,876790,1,876791,824,734,0.0577664,-1,-1
1767225808797,876876,876877,876876,1,876877,1223,128,0.810511,-1,-1
1767225820798,876939,876940,876939,1,876940,1293,201,0.730924,-1,-1
1767225832797,877038,877039,877038,1,877038,1219,1226,-0.00286299,-1,-1
1767225844798,876971,876972,876971,1,876971,282,1762,-0.72407,-1,-1
1767225856997,876971,876972,876971,1,876971,279,1495,-0.685457,-1,-1
1767225868998,876971,876972,876971,1,876971,445,1603,-0.56543,-1,-1
1767225880997,876971,876972,876971,1,876972,1175,1054,0.0542844,-1,-1
1767225892997,876971,876972,876971,1,876972,1137,885,0.124629,-1,-1
1767225905397,876971,876972,876971,1,876972,1207,934,0.127511,-1,-1
1767225917398,877415,877416,877415,1,877416,1450,247,0.708898,-1,-1
1767225929397,878027,878028,878027,1,878028,828,721,0.0690768,-1,-1
1767225941398,877604,877605,877604,1,877604,627,2668,-0.619423,-1,-1
1767225953397,877500,877501,877500,1,877500,714,1270,-0.280242,-1,-1
1767225965397,877451,877452,877451,1,877451,677,1630,-0.413091,-1,-1
1767225977997,877428,877429,877428,1,877428,537,1441,-0.457027,-1,-1
1767225989998,877324,877325,877324,1,877324,457,1562,-0.547301,-1,-1
1767226001997,877033,877034,877033,1,877033,401,1571,-0.593306,-1,-1
1767226014397,877107,877108,877107,1,877107,680,1120,-0.244444,-1,-1
1767226026598,877039,877040,877039,1,877040,1205,842,0.177333,-1,-1
