time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767225600000,7000,11,876433,876433,876434,1,-0.101283,0,0,0,0,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767226500000,7000,11,877281,877281,877282,1,0.71696,0.0153874,0.0014881,0,0.0014881,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767227400000,7000,11,877675,877675,877676,1,-0.201742,1.76381e-08,0.00297619,0,0.00297619,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767228300000,7000,11,877388,877388,877389,1,0.446179,8.93107e-07,0.00446429,0,0.00446429,0,0,0,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767229200000,6989,11,878044,878044,878045,1,-0.719314,0.0477065,0.00595238,0.00157143,0.00438095,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767230100000,6989,11,879956,879956,879957,1,-0.666341,5.96905e-05,0.00744048,0.00157143,0.00586905,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767231000000,6989,11,878731,878731,878732,1,-0.3125,0.0010795,0.00892857,0.00157143,0.00735714,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767231900000,6989,11,878905,878905,878906,1,0.295542,0.00272099,0.0104167,0.00157143,0.00884524,0,0,0,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767232800000,6978,11,879509,879509,879510,1,0.000571755,0.0696371,0.0119048,0.00314286,0.0087619,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767233700000,6978,11,880003,880003,880004,1,0.818873,1.76975,0.0133929,0.00314286,0.01025,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767234600000,6978,11,879606,879606,879607,1,0.452878,2.60278e-10,0.014881,0.00314286,0.0117381,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
1767235500000,6978,11,879568,879568,879569,1,0.152381,0.0193078,0.016369,0.00314286,0.0132262,0,0,0,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767236400000,6967,11,879159,879159,879160,1,-0.858302,0.00267975,0.0178571,0.00471429,0.0131429,0,0,0,0,0,0,exec_passive,exec_passive,1000,0.05
